职位名称,地区,薪水,标签,能力要求,公司名字,公司介绍,福利待遇,职位描述,企业类型,工作地址,详情链接
python 教师,株洲·天元区·神农城,5-8K,"经验不限,大专",人工智能动画动漫机器人,株洲昕芒,株洲昕芒教育科技有限公司成立于2019年。旗下dash编程学致力于3-16周岁青少儿的学科类编程教育发展，株洲第一家以学科类编程为主的培训机构。 Dash教育2012年创立于美国，13年dash机器人问世。2015年进入中国市场，成都、深圳拥有双总部。目前全国有上百家机构。我们致力于将专业编程教育带给中国孩子。 我们还在路上，期待你的加入。,股票期权，住房补贴，带薪年假，年终奖，员工旅游，加班补助，全勤奖，节日福利，五险一金,工作内容： 1、负责scratch、EV3、Python 课程备课、教学； 2、负责跟进教学结果，给学生、家长提供反馈； 3、参与课程推广、宣传； 4、带学生参加各类赛事、考级。 任职要求： 1、大专以上学历，计算机、编程相关毕业； 2、有相关教学经验优先。,有限责任公司（自然人投资或控股）,株洲天元区DASH编程学院神农城北栋3楼BD-305,https://www.zhipin.com/job_detail/fbb915ea8f21cd4b1nZ93dm6FlRQ.html?lid=23rzllqGTrY.search.4&securityId=Qf1xSr_iFBR8a-y1ERf5dnrrJOyV6omQh9CnxRiG6Oxy7-5Jhx5ZMBTqE0YarcGCPoFI9vfFhT4ktv-4ighoOOvVdbpKIO4LjAuaBCvRX4FqKpUMRhE~&sessionId=
Python 平安,深圳·南山区·科技园,16-19K,"3-5年,本科",PythonDjango计算机相关专业,恒生保泰,恒生电子是一家以“让金融变简单”为使命的金融科技公司，总部位于中国杭州。1995年成立，2003年在上海证券交易所主板上市（600570.SH）恒生电子  https://www.hundsun.com/。        恒生聚焦金融行业，致力于为证券、期货、基金、信托、保险、银行、交易所、私募等机构提供整体解决方案和服务，为个人投资者提供财富管理工具。作为中国唯一的全领域金融IT服务商，恒生已连续13年入选FINTECH100全球金融科技百强榜单，2020年排名第40位。        恒生保泰科技为恒生电子的子公司，致力于保险行业IT解决方案的互联网企业。研发中心位于广州，南宁，深圳北京、上海、杭州、北京、青岛等各地均有业务和团队。研发和实施体系的核心骨干均有10年以上的保险行业IT业务经验。主要产品体系： 1、保险核心业务解决方案       结合传统保险和互联网保险的特点，充分应用分布式、微服务、云计算、H5等新技术，构建先进的“云核心业务系统”，实现“全渠道、全险种、全流程”，帮助保险公司完成数字化转型，灵活应对市场的变化、快速推出新的产品、高效达成监管平台的对接，大大降低保险公司IT运营成本，成为保险公司经营发展的坚强后盾。产品构成：车险承保系统、车险理赔系统、非车险承保系统、非车险理赔系统、再保险业务系统 。 2、保险互联网中台解决方案       整合保险公司的互联网保险业务，完成从销售导向朝需求导向、以产品为中心向以客户为中心的转变，依托新兴技术打造以产品、服务、理赔、客户关系为一体的互联网保险生态平台，为保险客户提供创新、高效的统一入口、产品管理、服务管理、客户管理等服务。产品构成：互联网保险业务平台、 E-Cargo系统、多渠道接入平台 。 3、保险管理类解决方案       为保险公司前端业务提供一系列管理数据支撑，同时为其客户管理、风控管理、绩效管理、数据分析等提供系统服务，是保险公司经营决策的智库中心。产品构成：保险大数据统计分析系统、保险ECIF系统、保险绩效考核系统、保险稽核系统 。 4、保险移动应用类解决方案       迎合移动互联网的发展大趋势，搭建移动展业、移动理赔、微信公众号平台以及小程序等移动应用体系，简化业务流程，建立全方位的产品营销网络，助力保险客户革新业务发展模式，拓展销售渠道，提高巿场渗透率，在日趋激烈的保险业市场竞争中脱颖而出。产品构成：保险微营销系统、保险移动理赔系统、保险自助批改、保险移动核保 。,员工旅游，年终奖，通讯补贴，股票期权，带薪年假，定期体检，五险一金，节日福利，零食下午茶,1、大学本科以上学历，3年以上计算机相关工作经验； 2、熟悉Linux、UNIX等操作系统命令； 3、熟悉自动化运维、有Restful API接口开发经验，有DevOPS、AIOPS相关经验更优； 4、精通使用Python进行运维管理产品开发，熟悉Django等Python Web开发框架，有过项目管理经验优先； 5、熟悉Oracle、PostgreSQL、MySQL等数据库开发； 6、熟悉金融行业监管对数据中心运维管理要求优先； 7、有团结协作精神，能够承受压力，做事踏实，学习能力强。 1、 协助负责妙算后台开发； 2、 协助负责妙算对平台外工作（各部门服务特性，营销策略，服务变化跟踪等涉及运营及开发）； 3、 协助负责妙算部分运营（沟通，交付等）工作； 外派平安科技,有限责任公司,深圳南山区平安科技(深圳)有限公司嘉联支付大厦,https://www.zhipin.com/job_detail/cb0338c1550596e91HR_2NW9EFpW.html?lid=23rzllqGTrY.search.5&securityId=iPRCmeM921N85-Z1wHUusxVcaHKagHbv2iMRhqmkm2Evi__sbpid9VqE_ISuf3pHgbMRwcyFxXwsMUS77VffXvxy1m0d45FVTQSH0yGAuPYpctYLW5Q~&sessionId=
Python 工程师,郑州·中原区·五龙口,6-11K·13薪,"3-5年,本科",数据开发Python计算机相关专业,讯鸟科技,郑州讯鸟计算机科技有限公司成立于2014年，是一家以计算机软件开发、技术咨询技术转让、计算机系统服务为主营业务的软件和信息服务类公司。   公司技术和研发实力雄厚，荣获国家科技型企业、四板企业（交易代码：204535）、国家高新技术企业、“专精特新”企业等荣誉资质。   公司专业研发呼叫中心、CRM、OA、语音机器人等企业信息化系统，并提供专业的解决方案和行业应用服务。公司同时以可穿戴设备、人工智能、大数据为方向，投资研发自组织协作型智能机器人（AI机器人）以及相关软硬件系统。   公司多名骨干具有15年以上软硬件全栈开发经验，具有较宽阔的视野与思维，可为客户量身定制全栈式解决方案。开发产品涉及操作系统、嵌入式、PC客户端、手机客户端APP、CNN视觉识别、视觉定位、RNN语音识别、AI多模态人工智能、商用机器人、民用机器人、物联网、视觉识别、语音识别、蜜罐（反入侵）、MITM（流量审查）、SIP软交换系统，语音机器人、呼叫中心系统、CRM、OA等企业信息化系统等。,餐补，交通补助，带薪年假，全勤奖，五险一金，定期体检，年终奖，员工旅游,岗位职责 1、负责相关产品的软件设计、开发、调试及文档编写、版本迭代； 2、负责相关产品的软件的开发，持续优化业务架构，保障软件稳定可靠。 岗位要求： 1、熟悉Python语言开发，熟悉Python桌面应用开发，熟悉网络编程； 2、熟悉 PyQt、tkinter 等任意一种或多种桌面方案； 3、熟悉CV算法并熟练使用OpenCV； 4、熟悉网络基础知识，了解TCP/IP协议及HTTP协议； 5、有tensorflow、yolo、u2net等开发经验，优先录取 6、有Linux环境使用经验； 7、良好的沟通能力，自学能力，有强烈的求和欲，有独立解决分析、解决问题的能力，良好的团队合作意识。,有限责任公司（自然人投资或控股）,郑州中原区腾讯众创空间2楼东区,https://www.zhipin.com/job_detail/15b994224b4c0b061XB639q-F1pT.html?lid=23rzllqGTrY.search.6&securityId=ioypPM6B-s1bP-c1KYqgE4xtvvp_0KmbXf6do4HNRPjB0zL57c_jc_WOqehcqlPcq6c0d48_hcIB0cHr6Ky49f5gCWuNhhnEYplFoxW7PMgQzVe0Srg~&sessionId=
Python C++开发,淄博·张店区·山东理工大学,3-5K,"经验不限,本科",后端Python计算机相关专业,里丰科技,里丰科技有限公司成立于2021年， 创始人团队由三位海外归国的人工智能博士组成，团队成员均毕业于世界IT排名前20的悉尼科技大学。公司致力于利用最先进的人工智能技术来实现水利工程设计的智能化与产业化升级，在指数级提升水利工程设计效率的同时，让设计人员从繁重的基础设计与绘制中解放出来，回归真正的设计。,带薪年假，年终奖，五险一金,* IT相关专业 * 熟练掌握python编程技术 * 熟悉C++编程优先 * 熟悉Qt开发优先 * 热爱软件开发 * 具备利用搜索引擎解决问题的能力 * 大学英语四级 职责： * 参与软件界面需求对接 * 设计并实现软件界面功能 * 编写软件需求文档 * 参与软件测试,有限责任公司（自然人投资或控股）,淄博张店区汇美领域B座6楼607,https://www.zhipin.com/job_detail/0c8a1f8aeb623f4b1Xd93tS4GVRX.html?lid=23rzllqGTrY.search.7&securityId=KrFnaEuwVSlxv-D1rlD67KFgmznEuzQ5BxviZaVGiEZiIlj1Ywcsd54hm5nxkrP9JKXXK_6AaDbYSuwVejqLjl4xT6BUwy_EsKGiZ5nBp5cmyOS30Q~~&sessionId=
Python 软件工程师,唐山·路北区·煤医道,8-12K,"1-3年,本科",数据开发运维开发机器学习/算法工程Python,探秘科技,河北探秘科技有限公司是一家汇聚自动化、信息化及智能制造专 业技术人才的科技公司。2020 年 3 月 23 日成立于河北唐山市。我们通过提供智能制造及节能咨询诊断、制定解决方案、方案落地实施服务，为工业企业实现降本提质增效的目标。 公司以“科技赋能高效生产、创新创建美好生活”为使命，获得国家级科技型中小企业、高新技术企业、创新型中小企业等荣誉称号。先后为市场客户设计研发气溶胶空气消毒装置、丁腈乳胶自动清洗装置、丁腈乳胶自动过滤装置、AGV自动导航车、渣浆泵故障诊断设备等机电软一体化设备；公司自研的中央厨房设备及信息化系统目前已与合作制造业企业进行转化合作。,餐补，带薪年假,负责 Python 应用程序的设计、开发和测试。 负责 Python 应用程序的架构设计和优化，确保系统的稳定性、可靠性和性能。 负责编写和调试 Python 应用程序的代码，包括底层驱动程序、中间件和应用程序。 负责 Python 应用程序的测试和调试，包括单元测试、集成测试和系统测试。 负责与前端工程师、后端工程师和其他团队成员协作，确保项目的顺利进行。 负责 Python 应用程序的文档编写和维护，包括设计文档、测试文档和用户手册等。 负责跟踪 Python 应用程序的最新技术和发展趋势，并应用到实际项目中。 负责参与客户项目的需求分析和方案设计，为客户提供技术支持和服务。,有限责任公司（自然人投资或控股）,唐山路北区中国唐山工业博物馆A馆,https://www.zhipin.com/job_detail/3dd22a17ae09d6901X1y2d-8EVVX.html?lid=23rzllqGTrY.search.8&securityId=3R0DjLUCPjI5v-G1iRX3HoHrVX_PR-2e_ueixeOShVTHC6fmJHY4UH0Ls6DBWHL_q-N_YK9LkFz0eiyhCBXW6t2N_k7hV7rjim9phCxMhh2pz5m2o7oB&sessionId=
Python WEB开发,上海·徐汇区·徐家汇,8-12K,"1-3年,本科",PythonRedisMySQL网络爬虫技术搜索引擎技术,麦开信息,一、公司简介 上海麦开信息科技有限公司创立于2014年，致力于制造业信息化与数字化转型，智能制造生态链建设的创新型科技企业。为制造业提供覆盖经营管理各环节的信息化服务，包括IT系统建设、协同办公、企业资源管理、客户服务及关系管理等。坚持为制造业提供高效、可靠的技术服务解决方案。 为了提高企业的运营效率，麦开科技根据“客户+数据中台＋工厂”模式，实现从营销、客户咨询、谈单、设计生产、配送的全链路数字化运营，先后自主研发了商用家具智能营销平台、客户管理系统、订单管理系统、智能报价系统等业务及管理工具；同时，构建商用家具数据服务中台、商用家具知识图谱、营销数据管理平台、用户数据分析平台、供应链数据管理平台等数据产品；最终通过数据技术赋能企业用户，优化企业决策的同时推动企业数字化转型。  二、公司文化及发展战略 我们是一个技术团队，更是一个商业团队。我们既要垂直向上探索新技术、新理论对产品的影响，也要重视产品在场景化组合应用中解决业务需求。我们的目标，是帮助企业实现“深刻拥抱用户需求，实现带有温度的自动化、智能化和数字化运营”。  三、用人理念 1、你热爱吗 麦开致力于创建能激发灵感的环境氛围，只要你是真的热爱这个选择！通过和团队伙伴们通力合作，我们努力让人们在工作中充分发挥出他们的潜能。 2、求知 团队鼓励每个人不断扩大知识面，包括“行业的广度”和“技术的深度”，进而构建自己的思维体系，学会科学的数据分析，从而更好的认知、预判、决策和实施。 3、创造 我们非常注重工作方法的养成。良好的工作方法，让日常工作井然有序，每个人都可以将精力投入到富有创造性的工作上。不断学习，不断创造，进而发现更好的自己。 4、连接 我们会揣着相同的使命开展工作——努力构建团结、探索工作的意义、促使彼此之间的互联。所以，我们会潜移默化的鼓励团队每个人，彼此之间信赖、坦诚，共建信奉荣誉感和责任感的氛围。  四、旗下网站产品介绍 品源办公家具商城 http://www.pinyuan.cc/  商用民用综合家具网 http://www.china-pinyuan.com/  高端办公家具解决方案 http://office.pinyuan.cc/  幼儿园家具 http://children.pinyuan.cc/  图书馆书店家具方案 http://library.pinyuan.cc/  医院家具定制 http://hospital.pinyuan.cc/  仓储货架定制 http://shelf.pinyuan.cc/  学校家具定制 http://school.pinyuan.cc/  公寓家居定制 http://apartment.pinyuan.cc/  酒店家具定制 http://⋐-⋑链接存在风险-------/  餐厅家具网 http://restaurant.pinyuan.cc/,五险一金,岗位职责：     1、负责公司网站运营工具、内部中台项目、客户端应用的前后端开发和维护，进行需求分析和功能设计；     2、设计与实现数据采集、数据处理、数据存储、数据分析与应用工具；     3、开发搜索功能，设计与实现系统的智能化检索、面向用户的智能推荐；     4、分析需求，对中台系统进行模块抽象，并进行项目框架搭建；     5、对现有架构、性能进行优化，参与技术方案制定与实施；     6、代码开发，bug修复与项目维护/迭代；     7、相关开发文档的编写与维护；     8、其他团队工作支持。 岗位要求：     1、计算机或相关专业大学本科及以上学历；     2、熟悉python开发语言；     3、熟悉常见的WEB开发框架，如：Django、Flask等；     4、熟悉Javascripts/html5/css等Web开发技术，熟悉JQuery/AJAX/JSON等技术，熟悉DIV+CSS布局；     5、熟悉前后端分离的开发方式，对主流前端框架如Vue.js有使用经验；     6、熟悉MySQL、Redis、MongoDB、Elasticsearch等数据库，并了解常用的SQL优化技巧；     7、熟悉Web开发中各类缓存设计、NoSQL解决方案；     8、熟悉linux基础操作，了解Docker容器技术；     9、能够较快的掌握新的软件开发方法、语言和工具，具备较强的学习能力，善于思考。,有限责任公司（自然人独资）,上海徐汇区海文商务楼斜土路2897弄50号202室,https://www.zhipin.com/job_detail/0004f592ce1981ab1nZ709i5GVtT.html?lid=23rzllqGTrY.search.9&securityId=56fctdRbhWjYG-M1Fwo2IdqFsKUxTDPqpgMDvlsFLp3zHiZZqe1020N_a0r2ngE1RCIKKfFDSnDDVhhsu8qYWi0tKi48sMnw0Of_tg61Dwp9jeWHhQ~~&sessionId=
Python 开发工程师,东莞·大朗镇·松山湖,15-30K·14薪,"经验不限,本科",后端Python,华为,华为创立于1987年，是全球领先的ICT（信息与通信）基础设施和智能终端提供商，我们致力于把数字世界带入每个人、每个家庭、每个组织，构建万物互联的智能世界：让无处不在的联接，成为人人平等的权利；为世界提供最强算力，让云无处不在，让智能无所不及；所有的行业和组织，因强大的数字平台而变得敏捷、高效、生机勃勃；通过AI重新定义体验，让消费者在家居、办公、出行等全场景获得极致的个性化体验。目前华为约有19.4万员工，业务遍及170多个国家和地区，服务30多亿人口。,股票期权，补充医疗保险，节日福利，加班补助，年终奖，员工旅游，五险一金，餐补，零食下午茶，定期体检,岗位职责： 1、负责产业内相关的需求分析和开发，模块设计及核心框架/功能代码实现，能指导低级别的软件工程师完成软件开发，自验工作 2、在指导下或独立完成模块内代码编写、单元测试、静态检查、本地构建、测试环境搭建、问题定位、资料开发等工作。 3、与周边干系人沟通协作，与其对齐业务目标，计划等顺利完成任务； 4、负责软件工程能力和相关工具体系研究与建设，支持产品可信能力和效率提升。 5、深入产品团队，诊断软件工程相关问题，并协同团队制定改进方案，达成能力改进和研发效率提升的目标。 任职要求： 1、承担过特性或模块的设计、开发，具有良好的沟通协调能力，较强的团队合作精神。 2、熟悉Linux网络编程，精通python语言，熟悉WSGI和Restful router框架，掌握常用数据结构和算法，了解软件工程、敏捷开发等知识 ，对OpenStack，docker，k8s有所了解者优先。 3、掌握Linux配置和Shell使用，能够使用shell实现简单运维功能 4、具备工具软件开发、大型IT软件、分布式系统架构设计与开发经验，或者熟悉编译原理的优先。 5、在校应届生不在本次招聘范围，请关注校园招聘。,有限责任公司（法人独资）,东莞溪流背坡村(华为)华为东莞研究所,https://www.zhipin.com/job_detail/cc161631c416f26b1XB80ty8EVRW.html?lid=23rzllqGTrY.search.10&securityId=CmBLU07r7igpG-s1WRGQG20zXZNc7kIRgNfmKh9G4Gzm1NDD-PSuwPUMbyWCzmQBtgHpx6G2Uqvpzcw75KnOVwGg_U0nfYBt4JzZ1xKF_mG9VSM~&sessionId=
python 软件工程师,秦皇岛·海港区·秦皇西大街,8-13K,"1-3年,学历不限",Python,众安,"众安电子科技（河北）有限公司（PBS Electronic Technology （HeBei) CO.,LTD）公司成立于2011年，高新技术企业，公司以“为提升公众的网络安全防护能力，让公众在互联网上更安全”为目标，致力于引导公众从“被动网络安全防御”向“主动网络安全防御”的转变，为客户提供定制化的网络安全解决方案和专业网络安全咨询服务。多年来已经成功防御几千万次的网络黑客攻击，主动发现并人工验证数百个单位网站、应用系统自身存在的高危漏洞并及时预警通报，避免了数千起的网络安全事件发生。已获得软件著作权10余项，通过国家权威机构认证2项，是CCRC认证的安全系统集成服务、安全运维外包服务、安全风险评估服务的安全企业。",,"岗位职责: 1、完成已有软件模块的详细设计，修改; 2、负责软件模块的单元测试、调试和维护等，按时有效的完成任务; 3、负责编写相关单元测试用例和单元测试报告，协助测试人员执行软件测试，编写相关软件的用户手册; 4、根据参与的项目计划执行各项工作; 5、按照公司规定定期提交工作汇报和工时填报; 6、完成上级临时交办的任务 任职要求· 1、计算机、电子、信息技术等相关专业本科及以上学历; 2、熟悉软件工程，熟练掌握面向对象的编程技术设计模式; 3、熟悉C/C++，nodejs, python，并熟悉基本的数据结构和处理算法; 4、熟悉c++界面开发，PC hook技术python后台开发，界面开发、前端vue 5、掌握计算机网络原理，熟悉多种操作平台，如Windows、linux(ubuntu) 等; 6、熟悉界面开发，如MFC、QT; 7、良好的开发习惯 (包括代码、调试、文档) ; 8、 熟悉IDE：visual studio ， visual studio code",有限责任公司（自然人投资或控股）,秦皇岛海港区开发区金融保险商务中心8层,https://www.zhipin.com/job_detail/1ac8d9f098c3f9cf1X193N-4FVVT.html?lid=23rzllqGTrY.search.11&securityId=7ySE6oMFZkdyr-M1kd6UJ4qQ4FRhhA-UDn__zeqIzTOSGE40cDqOSk0Okh58Dw3yN9PtshIeIM4cwZbohWLlEjSy7SALAw2WORSM82zQSL2YW_in2sJS&sessionId=
python 兼职开发,深圳·福田区·华强南,14000-15000元/月,"1-3年,学历不限",DjangopythonmysqlapiLinux,深圳懒蚂蚁,"公司主要利用人工智能技术赋能在线销售业务, 采用大数据精简物流繁琐的步骤与程序, 用人工智能对产品进行精确识别并自动计算利润. 配合自动采购, 把整个销售, 采购, 物流环节自动化, 人工智能化.",五险一金，加班补助，年终奖，股票期权，带薪年假,工作日期：不限 工作时间：不限 结算方式：完工结 • 2年以上相关工作经验； • 有Web应用服务开发的经验，熟悉掌握Django主流Web框架优先； • 熟悉Linux/Unix系统与开发环境； • 熟悉Mysql，Redis等数据库使用； • 具有良好的代码风格、接口设计与系统架构设计能力； • 能每天抽出 1-2 小时配合公司团队进行开发； • 有责任心，思路清晰，具备良好的沟通能力和团队协作精神； 岗位职责： • 负责程序模组开发 • 负责开放平台以及工具链后台业务开发,有限责任公司（自然人独资）,深圳福田区兴华大厦B座(燕南路)2018,https://www.zhipin.com/job_detail/9b485a47b00dc4891nJ_3ty9FFFU.html?lid=23rzllqGTrY.search.12&securityId=OmV214ltdHEuX-c1uLbeMPdBgAba8EGJk_1iO0E8VMdfrUv3c-WpxEvrCiF_ItDBR4ia5ZYhdMH-nvl7EQF75ZkNbtE4TzYJERJ28gb7-G39uYnU0w~~&sessionId=
Python +ArcGIS数据分析,广州·越秀区·东风东,10-15K,"1-3年,本科",PythonMySQL计算机相关专业数学/统计相关专业,吉奥时空,【完备的福利待遇】 1、地理信息+软件朝阳行业，业务增长快，大平台； 2、入职当月就开始缴纳五险一金； 3、每天车贴、餐贴，年度旅游、体检、贺礼、慰问金等； 4、法定节假日按国家规定，带薪年假、带薪病假； 5、享有婚假、产假、围产假、丧假等假期。  【健全的发展体系】 1、培训体系：入职培训、导师指导、在岗培训、行动学习、项目辅导、经验分享、专项培训； 2、培养形式：专业培训+专题训练营+专项人才培养+后备人才晋升； 3、发展路径：管理发展通道+专业发展通道双管齐下，任职资格评审+专家认证相结合。 4、对于员工自行参加的各类认证考试，符合公司奖励政策的，还可另行奖励。  【强大的规模实力】        吉奥时空信息技术股份有限公司创建于1999年，是武汉大学科技成果转化企业、国家高新技术企业和国家规划布局内重点软件企业。20余年来，公司始终不忘初心、自主创新，以L先的地理智能和时空大数据治理能力，深度服务自然资源和社会治理现代化，产品和解决方案广泛应用于全国29个省、400多个县市的千余家客户。        公司总部位于湖北武汉，在北京、广州、深圳、西安、江苏、浙江、江西、安徽、辽宁等十余个省市设有分支机构。公司拥有测绘J级、CMMI5级、ITSS三级等业内Z全、覆盖Z广的资质体系。公司先后荣获1项国家科技进步一等奖、5项国家科技进步二等奖、2项信息产业重大技术发明奖等70余项国家及省部级奖励，获得工信部专精特新重点“小巨人”、首批“大数据产业发展试点示范项目”、“优秀大数据产品”等荣誉；拥有专利与软件著作权370余件。       公司依托业内L先、自主可控的GIS基础平台系列软件，打造空天地智能一体化数字孪生大数据平台，以强大的时空大数据治理能力，为自然资源、城市治理、生态环保、应急指挥、乡村振兴等信息化和数字化建设提供体系化服务，推动政务管理“智治”、多源信息“智联”、公众服务“智用”，以科技支撑国家治理体系和治理能力现代化。,全勤奖，带薪年假，节日福利，交通补助，定期体检，员工旅游，补充医疗保险，年终奖，餐补，零食下午茶，通讯补贴，五险一金，加班补助,基于Python +ArcGIS开展空间数据分析计算工作 1、利用ArcGIS开展常规的数据计算分析，输出空间图层和相关报表； 2、利用Python编写相关计算分析脚本，执行自动化计算分析； 3、利用GA和自研平台开展空间大数据分析计算，输出统计报表； 技能要求 1、扎实的掌握地理信息系统相关原理； 2、熟练ArcGIS软件基本功能以及空间分析逻辑； 3、掌握Python程序语言，能独立根据需求编写执行脚本；,其他股份有限公司（非上市）,广州越秀区天誉商务大厦东塔(东门)1304,https://www.zhipin.com/job_detail/79a5c0ef706ec6461HR529i-FVdQ.html?lid=23rzllqGTrY.search.13&securityId=Q3QaC2g3SZLVh-U1d5IgCflk5B4cAivqOX9NAnbpsfjMkZVm8uuzO65GdG2wu3KVZ9gTayMc_Cu6O9TXWekY5XUxM54T2yDT_sybdUL5rTTDielz&sessionId=
python 图像信号算法工程师,大连·甘井子区·万达,10-11K,"1-3年,硕士",PythonC++,光古科技,,,负责声学信号，图像信号的处理算法，负责对缺陷的识别,有限责任公司（自然人投资或控股）,大连甘井子区科创大厦17-19室,https://www.zhipin.com/job_detail/045e5c654ffbda360X1-2d28EFU~.html?lid=23rzllqGTrY.search.14&securityId=eqjx-PCLNtjIo-Q1LyB8AekmBAWz5gKWgS1nf2fHW0y5qjr176Bojxt3YHorNMIGKzAs6bK3BEh4vcjsUDVNsEUzHJxCy7by56zJ3zS7gnMCnU--&sessionId=
Python 后端工程师,成都·武侯区·火车南站,8-12K,"1-3年,大专",RedisNoSQLMongoDBDjango,成都银事达,公司成立于2005年，服务于电信、教育等领域；国家高新技术企业；中华人民共和国增值电信业务经营许可证；AAA级信用等级证书；2项科技厅，3项市级科技项目奖励 公司下设三大部门:互联网事业部、通信工程事业部、系统集成部。,带薪年假，加班补助，全勤奖，通讯补贴，年终奖，餐补，节日福利，五险一金,岗位描述： 1.根据开发需求，完成基于Python的模块开发； 2.负责产品的接口优化和性能优化； 3.与各部门团队成员协同配合，完成迭代开发任务，确保产品的顺利上线； 4、遵循开发流程和开发规范，完善代码注释。 技能要求 1、熟练使用python语言，2年以上python工作经验； 2、熟练掌握Django或者其他Python Web开发框架，熟悉HTML、JS、CSS、jQuery等Web开发者优先； 3、熟悉MySQL、MongoDB、Redis等主流数据库中的至少一种； 4、熟悉SVN代码管理工具； 5、具备交付成熟软件产品经验者优先； 6、有移动APP相关开发经验优先； 7、工作认真负责，具备良好的团队沟通和协作能力，有较好效能的改进意识,有限责任公司（自然人独资）,成都武侯区安格斯国际中心16楼1-2号,https://www.zhipin.com/job_detail/719732ba5bc029881nZ90ty-FVNX.html?lid=23rzllqGTrY.search.15&securityId=fi5uKQSeAUokE-N1ZUMgxmepyxd__FJ1Vm0Krx1xWt1HhoW_5hEE4ghniIjbQoAijfd5pJVEsXGZDDrh3UTZRqpVbTEsfbg76WawUQwxcDaYbV82&sessionId=
python 数据开发,深圳·福田区·福田中心,200-250元/天,"3天/周,1个月,本科",分布式技术RedisNoSQLMongoDB,钛锋智能,钛锋智能有限公司(techfin.ai)是一家注重于将人工智能技术与金融市场相结合的金融科技企业。我们的团队来自于麻省理工学院、哥伦比亚大学、清华大学、北京大学、香港科技大学、香港中文大学、加州大学等高校，团队成员大部分具有博士或硕士研究生学历，具有丰富的人工智能、信息系统、金融工程学术背景。我们的期望是将学术研究与实际相结合，利用人工智能技术，改变金融市场。倘若您想见证学术研究如何商业落地，倘若您想见证人工智能技术如何改变金融市场，倘若您想见证未来由何而来，欢迎您加入我们。 欢迎来到未来，属于人工智能的世界。,全勤奖，补充医疗保险，年终奖，定期体检，丰富多彩团建，节日福利，股票期权，加班补助，五险一金，带薪年假，员工旅游，零食下午茶,"数据工程师实习生 岗位职责： 负责金融市场核心系统数据加工设计（ETL）、代码编写、系统维护等 负责金融数据平台系统Web后端架构，涉及对应金融数据接口。   技能要求： 本科及以上学历（985，211），计算机或者金融工程专业。 掌握Python处理数据，有数据分析或数据工程经验，有处理实时数据或时序数据经验，C++处理数据经验者优先。 掌握Pandas、Numpy、Pyarrow，掌握Mysql、Redis、MongoDB等数据库中的一种或多种，使用过Hdf，Apache-Feather等文件存储方式者优先。 掌握分布式文件系统CephFS，GlusterFS，HDFS 中的一种或多种者优先。 有强烈的上进心和求知欲，善于学习新事物，对技术充满激情 ； 具有较强的团队合作能力，勇于面对和解决挑战性问题。 表现优秀者可转正。 1.     公司介绍   钛锋智能是一家结合前沿智能科技，致力创造投资价值的量化基金公司。这里有行业顶尖的学术资源、巨量投入的硬件设备、持续创新的金融科技、团结活泼的团队氛围。公司创始人为香港中文大学终身教授、麻省理工博士张晓泉教授，主要股东皆为上市公司创始人、海外对冲基金创始人、BAT高管等。在他们的带领下，一群热爱物理数学、机器学习算法、软件工程、金融理论的研究者齐聚于此，来自麻省理工学院、哥伦比亚大学、清华大学、北京大学、香港科技大学、香港中文大学、加州大学等国内外一流名校的团队成员迅速增长，并期待您的加入。 钛锋智能曾获得清华五道口金融学院全球金融科技创业大赛最佳团队奖、深圳德勤高科技高成长20强的明日之星奖、香港ICT金融科技奖、香港科技大学百万奖金创业大赛AI领域奖、国泰君安君奕期权实盘大赛新秀奖等。 钛锋智能校园招聘旨在寻找有潜力揭秘金融市场底层规律的候选人, 培养候选人缜密的逻辑思考能力、数理建模能力、计算机编程能力以及金融见解，并最终将数理模型转化为投资策略，在金融市场上大显身手并产生价值。   2.     加入我们，你将会获得   自由活泼的学习与办公环境 快速落地策略的平台 参与实盘决策与交易的机会 先人一步收获全职offer的机会以及无限的成长空间 缜密的数理逻辑与金融思维 展望全球的国际视野与前瞻的商业智慧 富有竞争力薪酬福利保障体系和优渥的股权激励 经验丰富的团队和共同奋斗的小伙伴 精致的下午茶和丰富多彩的团建活动",有限责任公司,深圳福田区京地大厦2806,https://www.zhipin.com/job_detail/eb3c5c000f5b78de1n173dS-GVdQ.html?lid=23rzllqGTrY.search.16&securityId=I4BeRwmZ0Cj4P-y1w7Px-SqUVytByLT_zIA6OdfdHBXDFV2gaAIuFNO7WFPKBNhHqMMcCFBmjVu5z3jadUkd2WtUrM5fhMHPGAymwtni7NJsIy0CoFU~&sessionId=
